i,j,x_m,y_m,wall_distance_m
1,23,0.30010091,0.00068648449,0.000335672979
1,24,0.300118144,0.000721680809,0.000374861972
1,25,0.30013721,0.000760561612,0.000418165853
1,26,0.300158305,0.000803512007,0.00046601669
1,27,0.300181646,0.000850957252,0.000518891919
1,28,0.300207473,0.000903366925,0.000577319106
1,29,0.300236053,0.000961259516,0.000641881213
1,30,0.300267681,0.0010252075,0.000713222415
1,31,0.300302685,0.00109584295,0.000792054522
1,32,0.300341428,0.00117386367,0.00087916409
1,33,0.300384314,0.00126004002,0.00097542026
1,34,0.300431789,0.00135522241,0.00108178344
1,35,0.300484348,0.00146034957,0.00119931487
1,36,0.300542541,0.00157645765,0.00132918723
1,37,0.300606979,0.00170469028,0.00147269633
1,38,0.300678339,0.00184630959,0.00163127405
1,39,0.300757372,0.00200270844,0.00180650262
1,40,0.300844914,0.00217542383,0.00200013037
1,41,0.300941891,0.00236615164,0.00221408926
1,42,0.301049334,0.00257676296,0.00245051408
1,43,0.301168388,0.00280932195,0.00271176376
1,44,0.301300325,0.00306610556,0.00300044496
1,45,0.301446559,0.00334962519,0.003319438
1,46,0.301608663,0.00366265056,0.00367192568
1,47,0.301788388,0.00400823586,0.00406142495
1,48,0.30198768,0.00438974858,0.00449182209
1,49,0.302208708,0.00481090112,0.00496741141
1,50,0.302453885,0.00527578553,0.00549293814
1,51,0.302725899,0.00578891162,0.00607364577
1,52,0.303027747,0.00635524875,0.00671532836
1,53,0.303362768,0.00698027172,0.00742438834
1,54,0.303734685,0.00767001093,0.00820790041
1,55,0.304147653,0.00843110742,0.00907368213
1,56,0.304606307,0.00927087302,0.0100303719
1,57,0.305115824,0.0101973562,0.0110875152
1,58,0.305681986,0.0112194137,0.0122556597
1,59,0.306311252,0.0123467894,0.0135464607
1,60,0.307010846,0.0135901993,0.0149727972
1,61,0.307788847,0.0149614248,0.0165489007
1,62,0.308654298,0.016473414,0.0182904969
1,63,0.309617321,0.0181403915,0.0202149625
1,64,0.310689256,0.0199779772,0.0223414993
1,65,0.311882817,0.0220033155,0.0246913248
1,66,0.313212256,0.024235214,0.0272878846
1,67,0.31469357,0.0266942932,0.0301570861
1,68,0.316344718,0.0294031475,0.0333275569
1,69,0.318185873,0.0323865166,0.0368309308
1,70,0.320239711,0.0356714696,0.0407021629
1,71,0.322531739,0.0392875986,0.0449798787
1,72,0.325090657,0.0432672248,0.0497067595
1,73,0.327948789,0.0476456139,0.0549299681
1,74,0.331142554,0.0524612001,0.0607016194
1,75,0.334713014,0.0577558177,0.0670793006
1,76,0.338706492,0.0635749369,0.0741266455
1,77,0.343175284,0.0699679006,0.0819139696
1,78,0.348178455,0.0769881575,0.0905189714
1,79,0.353782763,0.0846934847,0.100027508
1,80,0.3600637,0.0931461936,0.110534452
1,81,0.367106683,0.102413306,0.122144636
1,82,0.37500841,0.11256669,0.134973903
1,83,0.383878403,0.123683138,0.149150258
1,84,0.393840767,0.135844363,0.164815146
1,85,0.405036184,0.149136899,0.182124864
1,86,0.417624189,0.163651852,0.201252123
1,87,0.431785738,0.179484488,0.222387765
1,88,0.447726131,0.196733591,0.245742673
1,89,0.465678304,0.215500535,0.271549873
1,90,0.485906547,0.235888012,0.300066857
1,91,0.508710678,0.257998311,0.331578158
1,92,0.534430718,0.281931061,0.36639818
1,93,0.563452091,0.307780307,0.404874343
1,94,0.596211397,0.335630788,0.447390547
1,95,0.633202741,0.365553238,0.494371001
1,96,0.674984655,0.397598534,0.546284454
1,97,0.722187543,0.431790475,0.603648879
1,98,0.775521627,0.468116959,0.667036633
1,99,0.835785247,0.506519315,0.737080172
1,100,0.903873386,0.546879536,0.814478361
1,101,0.980786155,0.589005167,0.900003448
1,102,1.06763693,0.632611651,0.994508764
1,103,1.16565976,0.677301968,1.09893724
1,104,1.27621545,0.72254355,1.21433083
1,105,1.40079589,0.767642549,1.34184088
1,106,1.54102581,0.811715811,1.48273962
1,107,1.69866142,0.853661097,1.63843289
1,108,1.87558531,0.892126475,1.81047413
1,109,2.07379712,0.925480078,2.00057989
1,110,2.29540001,0.951781778,2.21064697
1,111,2.54258308,0.968758562,2.44277133
1,112,2.81760085,0.973785471,2.69926901
1,113,3.12275141,0.963873823,2.98269923
1,114,3.46035552,0.935667987,3.29588995
1,115,3.83273993,0.885451149,3.64196604
1,116,4.24222805,0.80915942,4.02438051
1,117,4.69114168,0.702402276,4.44694893
1,118,5.18181641,0.560486011,4.91388751
1,119,5.71663274,0.378435747,5.42985516
1,120,6.2980634,0.151010968,6
2,0,0.299817562,0.00040361837,0
2,1,0.299818113,0.000407522704,3.9429525e-06
2,2,0.299818724,0.000411836581,8.29991945e-06
2,3,0.299819402,0.000416603092,1.31143728e-05
2,4,0.299820153,0.000421869774,1.84343492e-05
2,5,0.299820985,0.000427689138,2.43129291e-05
2,6,0.299821907,0.000434119194,3.08087665e-05
2,7,0.299822929,0.000441224033,3.79866741e-05
2,8,0.299824061,0.000449074472,4.59182701e-05
2,9,0.299825315,0.000457748751,5.46826925e-05
2,10,0.299826704,0.000467333317,6.43673892e-05
2,11,0.299828243,0.000477923686,7.50689899e-05
