x_m,y_m,u_ms,v_ms,speed_ms,Cp,T_static_K,T_recovery_K,Mach_local,vorticity_1s
-0.14438,-0.62492,81.723,29.311,86.82,0.1643,288.237,291.6,0.2551,-0.0
-0.13716,-0.62492,81.662,29.229,86.736,0.1659,288.245,291.6,0.2548,-0.0
-0.12995,-0.62492,81.603,29.146,86.652,0.1675,288.252,291.601,0.2546,-0.0
-0.12273,-0.62492,81.545,29.062,86.569,0.1691,288.259,291.602,0.2543,-0.0
-0.11551,-0.62492,81.489,28.976,86.487,0.1707,288.266,291.603,0.2541,-0.0
-0.10829,-0.62492,81.433,28.888,86.406,0.1722,288.273,291.603,0.2539,-0.0
-0.10107,-0.62492,81.38,28.799,86.325,0.1738,288.28,291.604,0.2536,-0.0
-0.09385,-0.62492,81.328,28.709,86.246,0.1753,288.287,291.605,0.2534,-0.0
-0.08663,-0.62492,81.277,28.617,86.168,0.1768,288.294,291.606,0.2532,-0.0
-0.07941,-0.62492,81.228,28.524,86.091,0.1782,288.3,291.606,0.2529,-0.0
-0.07219,-0.62492,81.181,28.429,86.015,0.1797,288.307,291.607,0.2527,-0.0
-0.06497,-0.62492,81.136,28.333,85.941,0.1811,288.313,291.608,0.2525,-0.0
-0.05775,-0.62492,81.092,28.236,85.867,0.1825,288.319,291.608,0.2523,-0.0
-0.05053,-0.62492,81.05,28.138,85.796,0.1839,288.325,291.609,0.252,-0.0
-0.04332,-0.62492,81.01,28.039,85.725,0.1852,288.331,291.609,0.2518,-0.0
-0.0361,-0.62492,80.972,27.938,85.657,0.1865,288.337,291.61,0.2516,0.0
-0.02888,-0.62492,80.936,27.837,85.589,0.1878,288.343,291.611,0.2514,0.0
-0.02166,-0.62492,80.902,27.735,85.524,0.189,288.349,291.611,0.2512,0.0
-0.01444,-0.62492,80.87,27.631,85.46,0.1902,288.354,291.612,0.251,0.0
-0.00722,-0.62492,80.84,27.527,85.398,0.1914,288.359,291.612,0.2509,0.0
0.0,-0.62492,80.812,27.422,85.338,0.1926,288.364,291.613,0.2507,0.0
0.00722,-0.62492,80.786,27.317,85.28,0.1937,288.369,291.613,0.2505,0.0
0.01444,-0.62492,80.762,27.211,85.223,0.1947,288.374,291.614,0.2503,0.0
0.02166,-0.62492,80.741,27.104,85.169,0.1958,288.379,291.614,0.2502,0.0
0.02888,-0.62492,80.721,26.997,85.116,0.1967,288.383,291.615,0.25,0.0
